2018-08-07 16:24:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:24:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:25:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:25:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:25:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:26:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:26:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:26:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:27:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:27:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:27:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:28:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:28:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:28:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:29:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:29:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:29:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:30:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:30:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:30:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:31:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:31:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:31:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:32:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:32:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:32:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:33:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:33:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:33:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:34:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:34:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:34:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:35:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:35:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:35:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:36:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:36:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:36:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:37:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:37:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:37:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 16:38:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
